pfam_id	family_name	length	depth	effective_depth	pdb_id	resolution	seed_sizes
PF00004	AAA	132	39277	9049	4D81	2.4	207
PF00005	ABC_tran	137	68891	43881	1L7V	3.2	55
PF00041	fn3	85	42721	17782	3UP1	2.15	98
PF00072	Response_reg	112	73063	40180	3ILH	2.59	52
PF00076	RRM_1	69	51964	20273	3NNH	2.75	68
PF00096	zf-C2H2	23	38996	12581	4R2A	1.59	159
PF00153	Mito_carr	94	93776	17859	1OCK	2.2	160
PF00271	Helicase_C	111	66809	25017	3EX7	2.3	421
PF00397	WW	31	39045	3361	4REX	1.6	448
PF00512	HisKA	66	154998	67303	3DGE	2.8	265
PF00595	PDZ	82	71303	4053	1BE9	1.82	44
PF01535	PPR	31	109064	37514	4M57	2.86	458
PF02518	HATPase_c	111	80714	59189	3G7E	2.2	658
PF07679	I-set	90	36141	14611	1FHG	2.0	48
